,Smiles,MolLog,TPSA,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumRotatableBonds,CalcNumAmideBonds,NumHeteroatoms,NumValenceElectrons,NumSpiroAtoms,FractionCSP3,FpDensityMorgan1,ExactMolWt,Chi0,Chi1,Ipc,BertzCT,LabuteASA,IC50
340,Cc1ccsc1C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,5.647520000000004,20.23,1,1,2,1,3,0,4,112,0,0.1111111111111111,0.8181818181818182,348.014241428,15.742276208189782,10.513892449325281,137173.81843077866,730.1066593522758,143.3166052367891,10000.0
341,O=C(NC1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1)C1CC1,3.210000000000001,58.120000000000005,1,5,4,1,5,1,6,136,0,0.45,1.0384615384615385,370.15603903600004,17.93251065250177,12.70350993820667,2265805.754055643,740.166315176649,158.34003630509847,480.0
342,CC(C)Oc1ccc(C(c2cccnc2)N2CCC(NC(=O)Nc3ccccc3)CC2)cc1,5.244300000000004,66.49,2,6,4,2,7,2,6,172,0,0.3333333333333333,0.9696969696969697,444.252526264,23.045394827624122,16.08052003591841,35450483.29639812,1001.3109395626229,195.54345486997843,57.0
343,CS(=O)(=O)NC1CCN(C(c2ccc(Cl)cc2)c2cncnc2)CC1,2.2329999999999997,75.19,1,6,5,1,5,0,8,134,0,0.4117647058823529,1.12,380.10737459200004,17.863596551749424,11.921634854885394,429634.53347631864,791.1573767530018,152.85029490780917,100000.0
344,CC(C)(C)OC(=O)N1CCN(C(c2cccnc2)c2ccc(C#N)cc2F)CC1,3.734480000000003,69.46000000000001,0,6,5,0,3,1,7,152,0,0.4090909090909091,1.2413793103448276,396.19615426,21.018297090128673,13.781006862392097,2643129.867525321,897.2636625772706,170.0695271656933,100000.0
345,CC(C)(C)OC(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cncs2)CC1,5.240400000000005,54.46,1,5,5,1,4,1,9,164,0,0.5238095238095238,1.2,441.169782732,21.94094682093904,14.026806570407933,4125427.2061387724,824.6717484798193,177.8033521882898,7.0
346,CCS(=O)(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,2.988500000000001,75.19,1,6,5,1,6,0,10,158,0,0.47368421052631576,1.1724137931034482,428.1493816360001,21.070703332935963,13.70365659320247,2655099.520264501,897.3015347300786,167.77351911849945,100000.0
347,O=S(=O)(C1CCCCC1)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,3.638600000000003,66.4,0,6,5,0,5,0,9,162,0,0.5238095238095238,1.0333333333333334,452.144902972,21.139617433688315,14.464363626468568,7548630.713899831,962.2265855792725,181.67973910138798,61290.0
348,CC(C)(C)C(=O)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,3.5488000000000026,49.330000000000005,0,5,4,0,3,1,7,144,0,0.45,1.1481481481481481,390.162267288,19.60408352775558,12.769875513468987,1003973.3590637823,801.3741647210901,163.72137434814925,100000.0
349,O=C(NC(c1ccc(C(F)(F)F)cc1)c1cnccn1)C1CC1,3.1110000000000015,54.88,1,4,3,1,4,1,7,120,0,0.3125,1.173913043478261,321.108896728,16.44938298937633,10.94850830842307,297962.40254606167,681.9666903387059,130.31960531273492,100000.0
350,CN(C)C(=O)N1CCN(C(c2cncnc2)c2ccc(Cl)cc2F)CC1,2.6577,52.57000000000001,0,6,4,0,3,2,8,138,0,0.3888888888888889,1.1923076923076923,377.141866192,18.681433796945203,12.46923425058676,778249.4838045486,765.4316990718343,156.7513237895594,100000.0
351,FC(F)(F)c1ccc(C(NC2CCN(c3ccccc3C(F)(F)F)CC2)c2cccnc2)cc1,6.4672000000000045,28.16,1,3,3,1,5,0,9,180,0,0.32,0.7941176470588235,479.17961705600004,24.346724214874857,16.126159669017042,36371006.93024979,1072.3002742762633,192.98185354558396,9.0
352,CON=C(Cc1ccccc1)c1ccc(Cl)cc1,3.933200000000003,21.59,0,2,2,0,4,0,3,92,0,0.13333333333333333,1.0555555555555556,259.076391748,12.794682450997078,8.792024997884274,15880.767147940676,519.949682051087,111.84949611047749,70250.0
353,Cc1ncsc1C(=O)N1CC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)C1,4.068920000000003,58.120000000000005,1,5,5,1,5,1,9,156,0,0.2857142857142857,1.2,432.123166888,21.30275414050484,14.325518406134815,5730414.70477227,1014.7356712326125,175.14183857381045,186.0
354,O=C(c1cc[nH]n1)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,3.8073000000000023,73.91,2,6,4,2,5,1,9,162,0,0.3181818181818182,1.096774193548387,429.17764498400004,21.846724214874857,14.914834803611855,15077269.45033999,982.2456625392715,177.04403140721456,100000.0
355,Clc1ccc(C(c2cccnc2)N2CCCCC2)cc1,4.310300000000003,16.130000000000003,0,2,2,0,3,0,3,104,0,0.35294117647058826,0.95,286.123676288,13.7862462825598,9.84333659290053,62826.54518110222,532.676279097685,124.95506673644297,100000.0
356,Cc1noc(C)c1C(=O)N1CCC(CN(c2ccc(C(F)(F)F)cc2)c2cccnc2)CC1,5.395740000000005,62.470000000000006,0,6,5,0,5,1,9,174,0,0.375,1.121212121212121,458.1929607,23.58721119088101,15.736202008657775,28803856.249985512,1069.647163260488,189.55195870303024,86.0
357,CN(C)C(=O)C1CCN(C(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1,3.3850000000000016,49.330000000000005,0,5,4,0,4,1,8,150,0,0.45,1.1428571428571428,392.18239601600004,20.31119030894212,13.269875513468989,1723667.7444151777,785.3481399802894,161.74917892712008,1010.0
358,FC(F)(F)c1ccc(C(NC2CN(c3ncccn3)C2)c2cccnc2)cc1,3.4582000000000024,53.94,1,5,5,1,5,0,8,144,0,0.25,0.9285714285714286,385.151430236,19.56226716449869,13.504151201088897,2222780.9897449687,894.634101303229,159.82971695550842,115.0
