Molecule ChEMBL ID;Molecule Name;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Value;Standard Units;pChEMBL Value;Potential Duplicate;BAO Label
CHEMBL1862922;;372.35;0;17593;DNDI1336034;NC(=O)c1ccc(C(O)(c2ccc(C(F)(F)F)cc2)c2cccnc2)cc1;IC50;120.0;nM;33756;False;organism-based format
CHEMBL1863314;;404.40;0;44472;DNDI1489896;Cc1noc(N2CCN(C(c3ccc(C(F)(F)F)cc3)c3cncnc3)CC2)n1;IC50;192.5;nM;26451;False;organism-based format
CHEMBL1863367;;430.45;1;31898;DNDI1608216;Fc1ccc(OC2CCN(C(c3ccc(C(F)(F)F)cc3)c3cccnc3)CC2)cc1;IC50;23790.0;nM;22737;False;cell-based format
CHEMBL1862947;;420.94;1;44505;DNDI1449761;O=C(Nc1ccccc1)N1CCC(NC(c2ccc(Cl)cc2)c2cccnc2)CC1;IC50;63730.0;nM;43922;False;cell-based format
CHEMBL1863301;;268.14;0;24167;DNDI1322031;OC(Cc1ccc(Cl)nc1)c1ccc(Cl)cc1;IC50;1000.0;nM;;False;organism-based format
CHEMBL1863167;;391.78;0;24563;DNDI1423068;O=C(NC(c1ccc(C(F)(F)F)cc1)c1cnccn1)c1ccc(Cl)cc1;IC50;61770.0;nM;44287;False;cell-based format
CHEMBL1862822;;391.52;0;21976;DNDI1467769;CC(C)(C)NC(=O)N1CCC(NC(c2ccc(C#N)cc2)c2cccnc2)CC1;IC50;585.0;nM;45078;False;organism-based format
CHEMBL1862854;;403.51;0;14305;DNDI1498550;N#Cc1ccc(C(c2cccnc2)N2CCC(NC(=O)c3cscn3)CC2)cc1;IC50;100000.0;nM;;False;cell-based format
CHEMBL1863088;;444.46;0;13971;DNDI1538106;Cc1nc(C(=O)N2CCC(NC(c3ccc(C(F)(F)F)cc3)c3cccnc3)CC2)co1;IC50;590.5;nM;45078;False;organism-based format
CHEMBL1863359;;378.40;0;43525;DNDI1423051;CC(=O)N1CCC(NC(c2ccc(C(F)(F)F)cc2)c2cnccn2)CC1;IC50;100000.0;nM;;False;cell-based format
